City,Country,Year,LED_Conversion_Pct,Curfew_Lighting_Hours,Dark_Sky_Policy_Enacted,Budget_Allocated_USD_Million,Energy_Saved_GWh,Cost_Saved_USD_Million,SQM_Improvement,Public_Awareness_Score,Initiative_Status,Certifying_Body
Berlin,Germany,2018,45,3,Yes,12.5,380,42,0.8,Active,IDA
Berlin,Germany,2019,55,3,Yes,14.0,420,48,1.0,Active,IDA
Berlin,Germany,2020,62,4,Yes,15.5,480,55,1.2,Active,IDA
Berlin,Germany,2021,70,4,Yes,17.0,530,62,1.4,Active,IDA
Berlin,Germany,2022,78,4,Yes,18.5,580,69,1.6,Active,IDA
Berlin,Germany,2023,85,5,Yes,20.0,630,76,1.8,Active,IDA
Reykjavik,Iceland,2018,90,5,Yes,8.0,120,18,0.5,Active,IDA
Reykjavik,Iceland,2019,92,5,Yes,8.5,125,19,0.6,Active,IDA
Reykjavik,Iceland,2020,94,6,Yes,9.0,130,20,0.7,Active,IDA
Reykjavik,Iceland,2021,95,6,Yes,9.5,135,21,0.8,Active,IDA
Reykjavik,Iceland,2022,96,6,Yes,10.0,140,22,0.9,Active,IDA
Reykjavik,Iceland,2023,97,7,Yes,10.5,145,23,1.0,Active,IDA
Sydney,Australia,2018,40,2,No,6.0,280,32,0.3,Planning,None
Sydney,Australia,2019,48,2,No,7.5,310,36,0.4,Planning,None
Sydney,Australia,2020,55,3,Yes,9.0,350,41,0.6,Active,DSAA
Sydney,Australia,2021,62,3,Yes,11.0,400,47,0.8,Active,DSAA
Sydney,Australia,2022,68,3,Yes,13.0,440,52,1.0,Active,DSAA
Sydney,Australia,2023,74,4,Yes,15.0,490,58,1.2,Active,DSAA
Paris,France,2018,52,2,Yes,18.0,420,58,0.5,Active,ANPCEN
Paris,France,2019,58,3,Yes,20.0,450,64,0.7,Active,ANPCEN
Paris,France,2020,63,3,Yes,22.0,490,70,0.9,Active,ANPCEN
Paris,France,2021,68,3,Yes,24.0,520,75,1.1,Active,ANPCEN
Paris,France,2022,72,4,Yes,26.0,550,80,1.3,Active,ANPCEN
Paris,France,2023,76,4,Yes,28.0,580,85,1.5,Active,ANPCEN
London,UK,2018,48,2,No,15.0,520,72,0.3,Planning,None
London,UK,2019,55,2,No,17.0,560,78,0.4,Planning,None
London,UK,2020,61,2,Yes,20.0,610,85,0.6,Active,CFZ
London,UK,2021,67,3,Yes,23.0,660,92,0.8,Active,CFZ
London,UK,2022,72,3,Yes,26.0,700,98,1.0,Active,CFZ
London,UK,2023,77,3,Yes,29.0,740,104,1.2,Active,CFZ
Tokyo,Japan,2018,30,1,No,5.0,480,52,0.1,None,None
Tokyo,Japan,2019,35,1,No,5.0,500,54,0.1,None,None
Tokyo,Japan,2020,40,1,No,5.5,520,56,0.1,Planning,None
Tokyo,Japan,2021,44,2,No,8.0,540,58,0.2,Planning,None
Tokyo,Japan,2022,48,2,No,8.0,560,61,0.2,Planning,None
Tokyo,Japan,2023,52,2,No,10.0,580,63,0.3,Planning,None
New York,USA,2018,35,1,No,8.0,680,95,0.1,None,None
New York,USA,2019,40,1,No,9.0,710,99,0.1,None,None
New York,USA,2020,44,1,No,10.0,730,102,0.1,Planning,None
New York,USA,2021,48,1,No,11.0,760,106,0.2,Planning,None
New York,USA,2022,52,2,No,13.0,790,110,0.2,Planning,None
New York,USA,2023,55,2,No,14.0,820,115,0.2,Planning,None
Mumbai,India,2018,18,0,No,2.0,320,38,0.0,None,None
Mumbai,India,2019,22,0,No,2.5,350,42,0.0,None,None
Mumbai,India,2020,26,1,No,3.0,370,44,0.0,None,None
Mumbai,India,2021,30,1,No,3.5,390,47,0.1,Planning,None
Mumbai,India,2022,34,1,No,4.0,420,50,0.1,Planning,None
Mumbai,India,2023,38,1,No,5.0,450,54,0.1,Planning,None
Los Angeles,USA,2018,60,2,Yes,22.0,850,118,0.7,Active,IDA
Los Angeles,USA,2019,65,2,Yes,24.0,880,124,0.9,Active,IDA
Los Angeles,USA,2020,70,3,Yes,26.0,910,128,1.1,Active,IDA
Los Angeles,USA,2021,74,3,Yes,28.0,940,132,1.3,Active,IDA
Los Angeles,USA,2022,78,3,Yes,30.0,970,136,1.5,Active,IDA
Los Angeles,USA,2023,82,4,Yes,32.0,1000,141,1.7,Active,IDA
Dubai,UAE,2018,15,0,No,1.5,250,35,0.0,None,None
Dubai,UAE,2019,18,0,No,1.5,265,37,0.0,None,None
Dubai,UAE,2020,21,0,No,2.0,280,39,0.0,None,None
Dubai,UAE,2021,24,0,No,2.0,295,41,0.0,None,None
Dubai,UAE,2022,27,0,No,2.5,310,43,0.0,None,None
Dubai,UAE,2023,30,0,No,3.0,325,46,0.0,None,None
Nairobi,Kenya,2018,20,1,No,1.0,85,10,0.0,None,None
Nairobi,Kenya,2019,24,1,No,1.2,92,11,0.1,None,None
Nairobi,Kenya,2020,28,1,No,1.4,99,12,0.1,None,None
Nairobi,Kenya,2021,32,1,No,1.6,108,13,0.1,Planning,None
Nairobi,Kenya,2022,36,2,No,1.9,118,14,0.2,Planning,None
Nairobi,Kenya,2023,40,2,Yes,2.2,128,16,0.3,Active,None
Kathmandu,Nepal,2018,12,0,No,0.5,42,5,0.0,None,None
Kathmandu,Nepal,2019,15,0,No,0.6,46,6,0.0,None,None
Kathmandu,Nepal,2020,18,1,No,0.7,50,6,0.0,None,None
Kathmandu,Nepal,2021,22,1,No,0.8,55,7,0.0,Planning,None
Kathmandu,Nepal,2022,26,1,No,0.9,60,8,0.1,Planning,None
Kathmandu,Nepal,2023,30,1,No,1.0,66,9,0.1,Planning,None
Santiago,Chile,2018,35,1,Yes,5.0,280,34,0.4,Active,IDA
Santiago,Chile,2019,40,2,Yes,6.0,310,38,0.6,Active,IDA
Santiago,Chile,2020,45,2,Yes,7.0,340,42,0.8,Active,IDA
Santiago,Chile,2021,50,2,Yes,8.0,370,46,1.0,Active,IDA
Santiago,Chile,2022,55,3,Yes,9.0,400,50,1.2,Active,IDA
Santiago,Chile,2023,60,3,Yes,10.0,430,54,1.4,Active,IDA
Toronto,Canada,2018,42,2,No,7.0,380,48,0.2,Planning,None
Toronto,Canada,2019,48,2,No,8.0,410,52,0.3,Planning,None
Toronto,Canada,2020,53,2,Yes,10.0,450,57,0.5,Active,RASC
Toronto,Canada,2021,58,3,Yes,12.0,480,61,0.7,Active,RASC
Toronto,Canada,2022,63,3,Yes,14.0,510,65,0.9,Active,RASC
Toronto,Canada,2023,68,3,Yes,16.0,540,69,1.1,Active,RASC
Marrakech,Morocco,2018,22,1,No,1.5,110,14,0.1,None,None
Marrakech,Morocco,2019,26,1,No,1.8,122,16,0.1,None,None
Marrakech,Morocco,2020,30,1,No,2.1,134,18,0.2,Planning,None
Marrakech,Morocco,2021,34,1,Yes,2.4,148,20,0.3,Active,None
Marrakech,Morocco,2022,38,2,Yes,2.7,162,22,0.4,Active,None
Marrakech,Morocco,2023,42,2,Yes,3.0,176,24,0.5,Active,None
